コントロールカラム,商品管理番号（商品URL）,商品番号,商品名,倉庫指定,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名
"","sale_crff_1612","CRFF-ADA","セラフィット フュージョン 特別セット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【IH対応】【すべーる】【スベール】【cerafit】","1","",""
"","sale_hd30_1612","HI12SS30","ヒルズダイエット パステルゼリーアイ30食セット 特別セット<br>","1","",""
"","sale_hd30_1612_time_l","HI12SS30","ヒルズダイエット パステルゼリーアイ30食セット 特別セット<br>","1","",""
"","sale_lgmc-total","","【送料無料】<br>レッグマジック サークル トータルセット<br> 【正規品】【ショップジャパン】<br>","1","トータルセット","カラー"
"","sale_lgmc-total01","","【送料無料】<br>レッグマジック サークル トータルセット<br> 【正規品】【ショップジャパン】<br>","1","レッグマジックサークル","カラー"
"","sale_lgmc-total02","","【送料無料】<br>レッグマジック サークル トータルセット<br> 【正規品】【ショップジャパン】<br>","1","レッグマジックサークル","カラー"
"","sale_lgmc-total_m","","【送料無料】<br>レッグマジック サークル トータルセット<br> 【正規品】【ショップジャパン】<br>","1","トータルセット","カラー"
"","sale_lgmc_1612_time_l","","レッグマジックサークル 美痩せキット<br> 【正規品】【ショップジャパン】<br>","1","レッグマジック サークル","カラー"
"","sale_mop-pro_1612","SMP-12SS","シャーク スチーム モップ プロ<br>（アンティークローズ）<br>【正規品】【掃除機】<br>","1","",""
"","sale_ngw-mat","NGWPM761","ながらウォーク お得なマットセット<br>39日返品保証は当店だけ！正規品 ショップジャパン 筋トレ マシン 器具 ダイエット エクササイズ ストレッチ フィットネス 骨盤運動 ながら運動","1","",""
"","sale_ntt_1612_time_1206","NTR-12SS","ニュートリブレット 特別セット<br>【ショップジャパン】【Nutri bullet】<br>","1","",""
"","sale_ntt_1612_time_l","NTR-12SS","ニュートリブレット 特別セット<br>【ショップジャパン】【Nutri bullet】<br>","1","",""
"","sale_nue_1612","NUE-NSGS","ヌエッタ 楽ラクかる～い本格ミシン<br>【コードレス】【ミシン 本体】【簡単】【ショップジャパン】<br>","1","",""
"","sale_nue_1612_time_l","NUE-NSGS","ヌエッタ 楽ラクかる～い本格ミシン<br>【コードレス】【ミシン 本体】【簡単】【ショップジャパン】<br>","1","",""
"","sale_sale_trs45_1612","TRSL45GS","【正規品】 トゥルースリーパー ライト4.5 シングル 特別セット<br>【True Sleeper】【マットレス】【低反発マットレス】","1","",""
"","sale_srct-sen","SRCT17SS","公式／シャークロケット 本格セット <br>39日間返品保証！<br>【ショップジャパン／SHOPJAPAN／掃除機／通販／TVショッピング／スティック型／掃除】","1","",""
"","sale_ssp-sp_1212","SSP-NPT9","スチームクリーナー市場売上No.1!<br>シャークスチーム ポータブル 大掃除応援セット<br>【除菌】【正規品】【ショップジャパン】【スチームモップ】","1","",""
"","sale_swt_1612","SWT-SYSS","スイングトレーナー（Swing Trainer）特別セット<br>","1","",""
"","sale_trce-s_1612","TRCERAGS","【正規品】 トゥルースリーパー セロ シングル 特別セット<br>【True Sleeper】【マットレス】【低反発マットレス】","1","",""
"","sale_trce-s_1612_time_l","TRCERAGS","【正規品】 トゥルースリーパー セロ シングル 特別セット<br>【True Sleeper】【マットレス】【低反発マットレス】","1","",""
"","sale_trs-s3dp","","公式／トゥルースリーパー プレミアム3.5(シングル)<br>今なら送料無料！60日間返品保証！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp01","TRSL-NSX","公式／トゥルースリーパー プレミアム3.5(シングル)<br>今なら送料無料！60日間返品保証！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp02","TRSL-NSX","公式／トゥルースリーパー プレミアム3.5(シングル)<br>今なら送料無料！60日間返品保証！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp03","TRSL-NSX","公式／トゥルースリーパー プレミアム3.5(シングル)<br>今なら送料無料！60日間返品保証！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp04","TRSL-NSX","公式／トゥルースリーパー プレミアム3.5(シングル)<br>今なら送料無料！60日間返品保証！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp05","TRSP35SS","公式／トゥルースリーパー プレミアム3.5(シングル)　楽天スーパーSALE限定　オリジナルカバー付<br>今なら送料無料！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp06","TRSP35SS","公式／トゥルースリーパー プレミアム3.5(シングル)　楽天スーパーSALE限定　オリジナルカバー付<br>今なら送料無料！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp07","TRSP35SS","公式／トゥルースリーパー プレミアム3.5(シングル)　楽天スーパーSALE限定　オリジナルカバー付<br>今なら送料無料！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp08","TRSP35SS","公式／トゥルースリーパー プレミアム3.5(シングル)　楽天スーパーSALE限定　オリジナルカバー付<br>今なら送料無料！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp09","TRSP35SS","公式／トゥルースリーパー プレミアム3.5(シングル)　楽天スーパーSALE限定　オリジナルカバー付<br>今なら送料無料！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs-s3dp_out","TRSP35SS","公式／トゥルースリーパー プレミアム3.5(シングル)　オリジナルカバー付<br>今なら送料無料！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","1","",""
"","sale_trs45_1612","","【正規品】 トゥルースリーパー ライト4.5 シングル 特別セット<br>【True Sleeper】【マットレス】【低反発マットレス】","1","",""
"","sale_trs45p_1612","TRSL35OK","【正規品】 トゥルースリーパー ライト3.5 シングル 低反発枕付き<br>【True Sleeper】【マットレス】【低反発マットレス】","1","",""
"","sale_trsp_1612","TRSPRAGS","【正規品】 トゥルースリーパー プレミアム シングル 特別セット<br>【True Sleeper】【マットレス】【低反発マットレス】","1","",""
"","sale_trsp_1612_time_l","TRSPRAGS","【正規品】 トゥルースリーパー プレミアム シングル 特別セット<br>【True Sleeper】【マットレス】【低反発マットレス】","1","",""
"","sale_trssf3dp","TRS35N20","【送料無料】【正規品】トゥルースリーパー ライト3.5<br>シングル＆ピロー付きセット<br>【ショップジャパン】<br>","1","",""
"","sale_wdc","","送料無料 ワンダーコア<br>39日返品保証は当店だけ！【腹筋】【wondercore】【公式】ショップジャパン（SHOPJAPAN）【倒れるだけ】筋トレ　腹筋 マシン 座椅子 ベンチ 筋トレ シットアップベンチ コア 宇梶剛士 ※ワンダーコア2 ではありません","1","ワンダーコア","カラー"
"","sale_wdc-pers","","送料無料 ワンダーコア パーフェクトセット<br>39日返品保証は当店だけ！【腹筋】【ショップジャパン（SHOPJAPAN）】【wondercore】【正規品】【倒れるだけ】腹筋 マシン 座椅子 ベンチ 筋トレ 宇梶剛士　※ワンダーコア2 ではありません","1","パーフェクトセット","カラー"
"","sale_wdc2","WDC2-NHK","【公式】【送料無料】ワンダーコア2<br>39日返品保証は当店だけ！正規品　ワンダーコア２　腹筋　wondercore　ショップジャパン（SHOPJAPAN）倒れるだけ　筋トレ　腹筋 マシン","1","",""
"","sale_wds","","【公式】【送料無料】ワンダーコアスマート<br>39日返品保証は当店だけ！正規品 腹筋 ショップジャパン 腹筋 マシン 筋トレ 器具 ダイエット フィットネス エクササイズ","1","ワンダーコアスマート","カラー"
"","sale_wds_1612_a","WDS12SSA","ワンダーコアスマート レッド 特別セットA<br>39日返品保証は当店だけ！【送料無料】正規品 ショップジャパン wondercore ワンダーコア ワンダーコア2 通販 TVショッピング 倒れるだけ スマート 腹筋 マシン 筋トレ 座椅子 ダイエット 剛力彩芽","1","",""
"","sale_wds_1612_b","WDS12SSB","ワンダーコアスマート レッド 特別セットB<br>39日返品保証は当店だけ！【送料無料】正規品 ショップジャパン wondercore ワンダーコア ワンダーコア2 通販 TVショッピング 倒れるだけ スマート 腹筋 マシン 筋トレ 座椅子 ダイエット 剛力彩芽","1","",""
"","sale_wds_1612_b_time_l","WDS12SSB","ワンダーコアスマート レッド 特別セット<br>39日返品保証は当店だけ！【送料無料】正規品 ショップジャパン wondercore ワンダーコア ワンダーコア2 通販 TVショッピング 倒れるだけ スマート 腹筋 マシン 筋トレ 座椅子 ダイエット 剛力彩芽","1","",""
"","sale_wds_pers-ss","","ワンダーコアスマート パーフェクトセット","1","パーフェクトセット","DVDの種類"
"","sam-e","CRM-S0SF","【正規販売店】コアリズム<br>サンバフュージョン（DVD)【日本語吹替版】<br>","1","",""
"","sck-x3xx"," ","【送料無料】<br>着圧ソックス3足まとめ買いセット【加圧ソックス】<br>","1","着圧ソックス","サイズ"
"","sck-xxxx"," ","【送料無料】<br>着圧ソックス【ショップジャパン】【加圧ソックス】<br>","1","着圧ソックス","サイズ"
"","sdb-30","SDB-RABS","シャドーボクサー<br>","1","",""
"","sdb-set3","SDB-RAB7","【送料無料】<br>シャドーボクサー チャンピオンセット<br>【ボクササイズ】【日本語吹替版/正規品】【アウトレット】<br>","1","",""
